Number of clicks on similar products,Number of similar products purchased so far,Average rating given to similar products,Gender,Median purchasing price (in rupees),Rating of the product,Brand of the product,Customer review sentiment score (overall),Price of the product,Holiday,Season,Geographical locations,Probability for the product to be recommended to the person,Product ID,Category,Age of Customer,Purchase Frequency (Monthly),Preferred Payment Method,Return History,Customer Loyalty Score,Active Promotional Campaign,Nombre del producto
12,4,4.2,male,500,4.5,PUMA,0.8,200,No,winter,plains,0.9,P00001,Health,,,,,,,Pro PUMA Supplements
8,2,3.8,female,3000,3.2,Lee,-0.4,300,Yes,monsoon,mountains,0.2,P00002,Clothing,,,,,,,Mega Lee Sneakers
25,10,4.5,female,600,4.8,Head Hunters,0.6,1000,No,spring,plains,0.7,P00003,Sports,,,,,,,Smart Head Hunters Ball
6,1,2.1,female,100,2.5,Johnson & Johnson,0.1,300,No,summer,coastal,0.1,P00004,Beauty,,,,,,,Mega Johnson & Johnson Perfume
18,5,4.7,male,2000,4.3,Wakefit,0.9,700,Yes,winter,plains,0.8,P00005,Electronics,,,,,,,Pro Wakefit Tablet
0,0,0.0,male,1000,0.0,Dabur Chyawanprash,-0.7,1000,No,winter,mountains,0.0,P00006,Food,,,,,,,Pro Dabur Chyawanprash Cereal
38,15,4.9,female,700,4.9,Manyavar Mohey,0.95,700,No,summer,plains,1.0,P00007,Food,,,,,,,Super Manyavar Mohey Candy
7,3,3.4,male,5000,3.7,Pepperfry,0.2,900,No,winter,coastal,0.3,P00008,Food,,,,,,,Mega Pepperfry Candy
4,0,1.5,male,900,1.8,Lee Cooper,-0.3,400,No,monsoon,mountains,0.05,P00009,Health,,,,,,,Mega Lee Cooper Vitamin
10,4,3.9,female,300,4.1,Libram,0.7,200,Yes,spring,plains,0.6,P00010,Health,,,,,,,Pro Libram Medicine
42,18,4.6,male,300,4.7,Flying Machine,0.85,600,No,summer,plains,0.95,P00011,Health,,,,,,,Mega Flying Machine Medicine
20,8,4.3,female,1000,4.4,SleepyCat,0.75,1000,Yes,summer,coastal,0.85,P00012,Sports,,,,,,,Ultra SleepyCat Bicycle
5,2,2.8,male,8000,3.0,Streax,-0.5,500,Yes,summer,plains,0.1,P00013,Furniture,,,,,,,Smart Streax Sofa
31,12,4.8,female,400,4.6,Lakme Ayurveda,0.85,600,No,winter,plains,0.9,P00014,Health,,,,,,,Mega Lakme Ayurveda Supplements
2,1,2.0,male,4000,2.2,Forest Essentials,-0.2,200,Yes,summer,mountains,0.05,P00015,Furniture,,,,,,,Ultra Forest Essentials Chair
17,7,4.1,female,900,4.2,Dove Hair,0.8,100,Yes,winter,plains,0.7,P00016,Furniture,,,,,,,Luxury Dove Hair Chair
14,6,3.6,male,200,3.4,Pepe Jeans London,0.3,900,No,summer,plains,0.4,P00017,Electronics,,,,,,,Eco Pepe Jeans London Headphones
9,3,3.3,female,2000,3.5,The Moms Co.,0.4,800,No,winter,plains,0.5,P00018,Sports,,,,,,,Eco The Moms Co. Shoes
23,9,4.0,male,6000,4.2,Himalaya Liv.52,0.9,600,Yes,winter,mountains,0.9,P00019,Sports,,,,,,,Super Himalaya Liv.52 Ball
3,1,1.7,male,500,2.0,Wildcraft,-0.1,700,No,monsoon,mountains,0.05,P00020,Sports,,,,,,,Super Wildcraft Gloves
28,11,4.5,female,7000,4.5,Godrej Interio,0.9,10000,Yes,winter,mountains,1.0,P00021,Beauty,,,,,,,Mega Godrej Interio Lipstick
16,6,3.7,male,700,3.8,Patanjali Ayurved (Health Care),0.6,300,No,monsoon,mountains,0.6,P00022,Clothing,,,,,,,Luxury Patanjali Ayurved (Health Care) T-Shirt
11,5,4.2,female,100,4.3,Lijoba,0.85,200,Yes,spring,plains,0.8,P00023,Electronics,,,,,,,Luxury Lijoba Tablet
36,14,4.7,male,100,4.6,Moov,0.7,900,No,summer,plains,0.85,P00024,Clothing,,,,,,,Smart Moov Jacket
19,8,4.4,female,4000,4.5,Kama Ayurveda,0.8,800,No,summer,coastal,0.9,P00025,Furniture,,,,,,,Smart Kama Ayurveda Bed
22,9,4.6,female,3000,4.7,Urban Ladder,0.85,800,No,winter,plains,0.9,P00026,Health,,,,,,,Smart Urban Ladder Vitamin
13,5,3.5,male,800,3.6,Allen Solly Woman,0.6,400,Yes,winter,plains,0.7,P00027,Furniture,,,,,,,Super Allen Solly Woman Table
8,3,2.9,female,200,3.0,Lee Cooper,0.1,300,No,summer,mountains,0.05,P00028,Electronics,,,,,,,Luxury Lee Cooper Phone
27,11,4.4,male,1000,4.5,SleepyCat,0.8,1000,Yes,winter,coastal,0.85,P00029,Electronics,,,,,,,Super SleepyCat Laptop
6,2,2.5,male,5000,2.7,Moov,-0.3,500,No,summer,mountains,0.1,P00030,Beauty,,,,,,,Smart Moov Cream
39,16,4.8,female,2000,4.8,Wildcraft,0.9,800,No,summer,plains,0.95,P00031,Health,,,,,,,Smart Wildcraft Mask
4,1,1.8,female,900,2.0,Johnson & Johnson,-0.2,400,No,monsoon,coastal,0.05,P00032,Clothing,,,,,,,Eco Johnson & Johnson T-Shirt
19,7,4.2,male,700,4.3,PUMA,0.7,200,No,winter,plains,0.8,P00033,Clothing,,,,,,,Eco PUMA Jeans
9,4,3.1,female,6000,3.3,Pepperfry,0.3,900,Yes,winter,coastal,0.4,P00034,Electronics,,,,,,,Ultra Pepperfry Tablet
32,13,4.7,male,100,4.8,Manyavar Mohey,0.9,700,No,summer,plains,0.9,P00035,Electronics,,,,,,,Smart Manyavar Mohey Phone
14,6,3.6,female,500,3.8,Max,0.5,300,No,winter,plains,0.6,P00036,Electronics,,,,,,,Mega Max Tablet
7,2,2.3,male,2000,2.5,Wakefit,-0.1,700,Yes,summer,mountains,0.05,P00037,Electronics,,,,,,,Ultra Wakefit Tablet
18,8,4.0,male,300,4.2,Lakme Ayurveda,0.8,100,No,winter,plains,0.9,P00038,Clothing,,,,,,,Eco Lakme Ayurveda Jeans
23,10,4.5,female,4000,4.6,Streax,0.9,100,Yes,summer,coastal,1.0,P00039,Clothing,,,,,,,Super Streax Sneakers
11,3,2.8,male,600,3.0,Flying Machine,0.2,400,No,monsoon,mountains,0.1,P00040,Beauty,,,,,,,Mega Flying Machine Cream
26,11,4.2,female,100,4.4,Lee,0.8,300,No,winter,plains,0.9,P00041,Beauty,,,,,,,Luxury Lee Lotion
17,7,3.9,male,5000,4.0,Head & Shoulders,0.7,900,Yes,winter,plains,0.8,P00042,Clothing,,,,,,,Pro Head & Shoulders Jacket
12,5,3.2,female,2000,3.3,Fastrack,0.4,600,Yes,winter,plains,0.5,P00043,Beauty,,,,,,,Luxury Fastrack Cream
5,1,1.9,male,900,2.0,Sugar Cosmetics,-0.3,400,No,monsoon,mountains,0.05,P00044,Clothing,,,,,,,Pro Sugar Cosmetics Sneakers
31,12,4.3,female,7000,4.5,Manyavar Mohey,0.9,10000,Yes,winter,mountains,1.0,P00045,Beauty,,,,,,,Luxury Manyavar Mohey Perfume
10,4,3.0,male,300,3.2,Kama Ayurveda,0.1,100,No,summer,coastal,0.1,P00046,Sports,,,,,,,Mega Kama Ayurveda Gloves
20,9,4.3,female,600,4.5,Johnson & Johnson,0.7,200,No,winter,plains,0.8,P00047,Sports,,,,,,,Mega Johnson & Johnson Ball
16,6,3.7,male,4000,3.8,Pepperfry,0.6,800,Yes,summer,mountains,0.8,P00048,Furniture,,,,,,,Super Pepperfry Shelf
29,12,4.6,female,500,4.7,Parachute,0.9,700,No,winter,plains,0.95,P00049,Sports,,,,,,,Smart Parachute Racket
24,10,4.4,male,200,4.5,Lee Cooper,0.8,300,No,summer,mountains,0.9,P00050,Furniture,,,,,,,Pro Lee Cooper Sofa
8,3,3.2,female,4000,3.4,Wildcraft,0.4,900,Yes,winter,plains,0.5,P00051,Beauty,,,,,,,Mega Wildcraft Perfume
21,9,4.1,male,500,4.3,Sugar Cosmetics,0.8,200,No,summer,coastal,0.9,P00052,Sports,,,,,,,Pro Sugar Cosmetics Bicycle
5,2,2.6,male,700,2.8,Lakme Ayurveda,-0.2,500,No,winter,plains,0.05,P00053,Clothing,,,,,,,Super Lakme Ayurveda Sneakers
17,7,3.9,female,3000,4.0,Max,0.7,600,Yes,summer,plains,0.8,P00054,Electronics,,,,,,,Mega Max Laptop
11,4,3.1,male,200,3.2,Lijoba,0.1,100,No,monsoon,plains,0.1,P00055,Clothing,,,,,,,Smart Lijoba Cap
28,13,4.5,female,2000,4.6,Godrej Interio,0.85,1000,No,winter,plains,0.9,P00056,Clothing,,,,,,,Mega Godrej Interio Cap
13,5,3.4,male,8000,3.5,SleepyCat,0.7,900,No,summer,coastal,0.8,P00057,Beauty,,,,,,,Smart SleepyCat Shampoo
9,4,2.9,female,4000,3.0,Dettol,-0.2,500,Yes,winter,plains,0.05,P00058,Clothing,,,,,,,Eco Dettol Jacket
36,15,4.7,male,300,4.8,Moov,0.9,800,No,summer,plains,1.0,P00059,Sports,,,,,,,Mega Moov Gloves
7,2,2.5,female,1000,2.7,The Moms Co.,0.0,200,Yes,summer,coastal,0.1,P00060,Furniture,,,,,,,Eco The Moms Co. Shelf
20,8,4.3,male,500,4.5,Max,0.8,300,No,winter,plains,0.9,P00061,Food,,,,,,,Ultra Max Snack
14,6,3.5,female,6000,3.7,Lakme Ayurveda,0.5,800,Yes,winter,plains,0.6,P00062,Beauty,,,,,,,Pro Lakme Ayurveda Lipstick
33,14,4.8,male,200,4.9,Pepe Jeans London,0.9,700,No,summer,mountains,1.0,P00063,Health,,,,,,,Pro Pepe Jeans London Mask
6,2,2.7,female,100,2.8,Wakefit,-0.1,700,Yes,summer,coastal,0.05,P00064,Clothing,,,,,,,Pro Wakefit Jacket
19,8,4.2,male,3000,4.3,Manyavar Mohey,0.8,1000,No,winter,plains,0.9,P00065,Food,,,,,,,Ultra Manyavar Mohey Meal
10,3,2.8,female,900,3.0,Johnson & Johnson,0.1,400,No,summer,plains,0.1,P00066,Electronics,,,,,,,Ultra Johnson & Johnson Headphones
25,11,4.4,male,8000,4.5,Wildcraft,0.85,900,No,summer,mountains,0.9,P00067,Beauty,,,,,,,Ultra Wildcraft Lipstick
15,6,3.6,female,200,3.8,Lee,-0.3,500,Yes,monsoon,plains,0.05,P00068,Electronics,,,,,,,Super Lee Tablet
29,12,4.6,male,6000,4.7,Pepperfry,0.9,800,No,winter,mountains,1.0,P00069,Furniture,,,,,,,Ultra Pepperfry Table
22,9,4.5,female,400,4.6,Head Hunters,0.85,300,No,summer,plains,0.9,P00070,Sports,,,,,,,Smart Head Hunters Gloves
12,5,3.0,male,3000,3.1,Urban Ladder,0.2,1000,Yes,winter,plains,0.2,P00071,Health,,,,,,,Luxury Urban Ladder Supplements
16,7,3.8,female,800,4.0,Lee,0.7,200,No,winter,plains,0.8,P00072,Health,,,,,,,Smart Lee Supplements
31,14,4.9,male,1000,5.0,Manyavar Mohey,0.9,700,No,summer,plains,1.0,P00073,Health,,,,,,,Super Manyavar Mohey Bandage
4,1,1.7,female,6000,1.8,Dettol,-0.3,500,Yes,summer,plains,0.05,P00074,Clothing,,,,,,,Smart Dettol Cap
26,11,4.3,male,200,4.4,Libram,0.8,300,No,winter,plains,0.9,P00075,Beauty,,,,,,,Mega Libram Shampoo
